一	j ɐ t
領隊	l ɪ ŋ t ɵy
領會	l ɪ ŋ w u:i
領銜	l ɪ ŋ h a: m
領獎	l ɪ ŋ t s œ: ŋ
領養	l ɪ ŋ j œ: ŋ
領導	l ɪ ŋ t ou
領頭	l ɪ ŋ tʰ ɐu
颱風	tʰ ɔ:i f ʊ ŋ
餃子	k a:u t s i:
餅乾	p ɛ: ŋ k ɔ: n
餅碎	p ɛ: ŋ s ɵy
駁斥	p ɔ: k t sʰ ɪ k
駁回	p ɔ: k w u:i
駁倒	p ɔ: k t ou
駁船	p ɔ: k s y: n
骯髒	ŋ ɔ: ŋ t s ɔ: ŋ
骯髒	ɔ: ŋ t s ɔ: ŋ
骰子	s ɐi t s i:
魁梧	f u:i ŋ
魂魄	w ɐ n pʰ a: k
鳳凰	f ʊ ŋ w ɔ: ŋ
鳳梨	f ʊ ŋ l ei
鳳眼	f ʊ ŋŋ a: n
鳴叫	m ɪ ŋ k i:u
鳴炮	m ɪ ŋ pʰ a:u
鳴冤	m ɪ ŋ j y: n
鳴笛	m ɪ ŋ t ɛ: k
鳴槍	m ɪ ŋ t sʰ œ: ŋ
鳴謝	m ɪ ŋ t s ɛ:
鼻子	p ei t s i:
鼻孔	p ei h ʊ ŋ
鼻水	p ei s ɵy
鼻尖	p ei t s i: m
鼻血	p ei h y: t
鼻炎	p ei j i: m
鼻音	p ei j ɐ m
鼻涕	p ei tʰ ɐi
鼻祖	p ei t s ou
鼻梁	p ei l œ: ŋ
鼻腔	p ei h ɔ: ŋ
鼻塞	p ei s ɐ k
鼻樑	p ei l œ: ŋ
鼻頭	p ei tʰ ɐu
鼻竇	p ei t ɐu
齊心	t sʰ ɐi s ɐ m
齊全	t sʰ ɐi t sʰ y: n
齊名	t sʰ ɐi m ɪ ŋ
齊奏	t sʰ ɐi t s ɐu
齊唱	t sʰ ɐi t sʰ œ: ŋ
齊備	t sʰ ɐi p ei
齊集	t sʰ ɐi t s a: p
齊整	t sʰ ɐi t s ɪ ŋ
齊聲	t sʰ ɐi s ɛ: ŋ
僵化	k œ: ŋ f a:
僵局	k œ: ŋ k ʊ k
僵直	k œ: ŋ t s ɪ k
僵屍	k œ: ŋ s i:
僵持	k œ: ŋ t sʰ i:
僵硬	k œ: ŋŋ a: ŋ
僵硬	k œ: ŋ a: ŋ
價目	k a: m ʊ k
價位	k a: w ɐi
價值	k a: t s ɪ k
價格	k a: k a: k
價錢	k a: t sʰ i: n
僻遠	pʰ ɪ k j y: n
僻靜	pʰ ɪ k t s ɪ ŋ
儀式	j i: s ɪ k
儀表	j i: p i:u
儀容	j i: j ʊ ŋ
儀態	j i: tʰ a:i
儀器	j i: h ei
儉樸	k i: m pʰ ɔ: k
劇本	kʰ ɛ: k p u: n
劇目	kʰ ɛ: k m ʊ k
劇毒	kʰ ɛ: k t ʊ k
劇烈	kʰ ɛ: k l i: t
劇院	kʰ ɛ: k j y: n
劇情	kʰ ɛ: k t sʰ ɪ ŋ
劇組	kʰ ɛ: k t s ou
劇場	kʰ ɛ: k t sʰ œ: ŋ
劇痛	kʰ ɛ: k tʰ ʊ ŋ
劇評	kʰ ɛ: k pʰ ɪ ŋ
劇照	kʰ ɛ: k t s i:u
劇團	kʰ ɛ: k tʰ y: n
劇種	kʰ ɛ: k t s ʊ ŋ
劇增	kʰ ɛ: k t s ɐ ŋ
劇變	kʰ ɛ: k p i: n
劈柴	pʰ ɛ: k t sʰ a:i
劈開	pʰ ɛ: k h ɔ:i
劈頭	pʰ ɛ: k tʰ ɐu
劉海	l ɐu h ɔ:i
劍俠	k i: m h a: p
劍客	k i: m h a: k
劍術	k i: m s ɵ t
劍道	k i: m t ou
劍擊	k i: m k ɪ k
厲害	l ɐi h ɔ:i
厲鬼	l ɐi k w ɐi
嘩然	w a: j i: n
嘮叨	l ou t ou
嘲弄	t s a:u l ʊ ŋ
嘲笑	t s a:u s i:u
嘲諷	t s a:u f ʊ ŋ
嘴刁	t s ɵy t i:u
嘴巴	t s ɵy p a:
嘴角	t s ɵy k ɔ: k
嘴型	t s ɵy j ɪ ŋ
嘴唇	t s ɵy t sʰ ɵ n
嘴軟	t s ɵy j y: n
嘴硬	t s ɵy ŋ a: ŋ
嘴臉	t s ɵy l i: m
嘴饞	t s ɵy t sʰ a: m
嘶叫	s ɐi k i:u
嘹亮	l i:u l œ: ŋ
噁心	ɔ: k s ɐ m
噓氣	h ɵy h ei
噓聲	h ɵy s ɛ: ŋ
噴火	pʰ ɐ n f ɔ:
噴出	pʰ ɐ n t sʰ ɵ t
噴泉	pʰ ɐ n t sʰ y: n
噴射	pʰ ɐ n s ɛ:
噴氣	pʰ ɐ n h ei
噴壺	pʰ ɐ n w u:
噴發	pʰ ɐ n f a: t
噴飯	pʰ ɐ n f a: n
噴漆	pʰ ɐ n t sʰ ɐ t
噴嘴	pʰ ɐ n t s ɵy
噴嚏	pʰ ɐ n tʰ ɐi
噴濺	pʰ ɐ n t s i: n
噴霧	pʰ ɐ n m ou
噴灑	pʰ ɐ n s a:
墜下	t s ɵy h a:
墜地	t s ɵy t ei
墜毀	t s ɵy w ɐi
墜落	t s ɵy l ɔ: k
墜樓	t s ɵy l ɐu
墜機	t s ɵy k ei
增大	t s ɐ ŋ t a:i
增刊	t s ɐ ŋ h ɔ: n
增加	t s ɐ ŋ k a:
增生	t s ɐ ŋ s ɐ ŋ
增光	t s ɐ ŋ k w ɔ: ŋ
增多	t s ɐ ŋ t ɔ:
增刪	t s ɐ ŋ s a: n
增長	t s ɐ ŋ t s œ: ŋ
增建	t s ɐ ŋ k i: n
增訂	t s ɐ ŋ t ɪ ŋ
增值	t s ɐ ŋ t s ɪ k
增益	t s ɐ ŋ j ɪ k
增高	t s ɐ ŋ k ou
增強	t s ɐ ŋ kʰ œ: ŋ
增添	t s ɐ ŋ tʰ i: m
增產	t s ɐ ŋ t sʰ a: n
增援	t s ɐ ŋ w u: n
增減	t s ɐ ŋ k a: m
增進	t s ɐ ŋ t s ɵ n
增補	t s ɐ ŋ p ou
墟市	h ɵy s i:
墨斗	m ɐ k t ɐu
墨水	m ɐ k s ɵy
墨汁	m ɐ k t s ɐ p
墨盒	m ɐ k h ɐ p
墨筆	m ɐ k p ɐ t
墨跡	m ɐ k t s ɪ k
墨綠	m ɐ k l ʊ k
墨鏡	m ɐ kk ɛ: ŋ
墨寶	m ɐ k p ou
墮地	t ɔ: t ei
墮胎	t ɔ: tʰ ɔ:i
墮海	t ɔ: h ɔ:i
墮馬	t ɔ: m a:
墮落	t ɔ: l ɔ: k
墳地	f ɐ n t ei
墳墓	f ɐ n m ou
墳頭	f ɐ n tʰ ɐu
嫵媚	m ou m ei
嫺淑	j i: n s ʊ k
嫻熟	h a: n s ʊ k
嬉水	h ei s ɵy
嬉笑	h ei s i:u
嬉戲	h ei h ei
嬌妻	k i:u t sʰ ɐi
嬌俏	k i:u t sʰ i:u
嬌娃	k i:u w a:
嬌柔	k i:u j ɐu
嬌美	k i:u m ei
嬌嫩	k i:u l y: n
嬌嫩	k i:u n y: n
嬌縱	k i:u t s ʊ ŋ
嬌艷	k i:u j i: m
審判	s ɐ m pʰ u: n
審批	s ɐ m pʰ ɐi
審定	s ɐ m t ɪ ŋ
審查	s ɐ m t sʰ a:
審美	s ɐ mm ei
審訂	s ɐ m t ɪ ŋ
審計	s ɐ m k ɐi
審核	s ɐ m h ɐ t
審案	s ɐ m ɔ: n
審案	s ɐ m ŋ ɔ: n
審訊	s ɐ m s ɵ n
審問	s ɐ mm ɐ n
審理	s ɐ m l ei
審視	s ɐ m s i:
審慎	s ɐ m s ɐ n
審察	s ɐ m t sʰ a: t
審稿	s ɐ m k ou
審閱	s ɐ m j y: t
審議	s ɐ m j i:
寫入	s ɛ: j ɐ p
寫下	s ɛ: h a:
寫出	s ɛ: t sʰ ɵ t
寫生	s ɛ: s a: ŋ
寫字	s ɛ: t s i:
寫成	s ɛ: s ɪ ŋ
寫作	s ɛ: t s ɔ: k
寫完	s ɛ: j y: n
寫法	s ɛ: f a: t
寫信	s ɛ: s ɵ n
寫真	s ɛ: t s ɐ n
寫景	s ɛ: k ɪ ŋ
寫給	s ɛ: kʰ ɐ p
寫意	s ɛ: j i:
寫照	s ɛ: t s i:u
寫詩	s ɛ: s i:
寫實	s ɛ: s ɐ t
寫稿	s ɛ: k ou
寬大	f u: n t a:i
寬厚	f u: n h ɐu
寬度	f u: n t ou
寬待	f u: n t ɔ:i
寬限	f u: n h a: n
寬容	f u: n j ʊ ŋ
寬恕	f u: n s y:
寬赦	f u: n s ɛ:
寬敞	f u: n t sʰ ɔ: ŋ
寬裕	f u: n j y:
寬廣	f u: n k w ɔ: ŋ
寬闊	f u: n f u: t
寬鬆	f u: n s ʊ ŋ
層次	t sʰ ɐ ŋ t sʰ i:
層面	t sʰ ɐ ŋ m i: n
履行	l ei h ɐ ŋ
履約	l ei j œ: k
履新	l ei s ɐ n
履歷	l ei l ɪ k
廚子	t sʰ y: t s i:
廚具	t sʰ y: k ɵy
廚房	t sʰ y: f ɔ: ŋ
廚師	t sʰ y: s i:
廚櫃	t sʰ y: k w ɐi
廝守	s i: s ɐu
廝殺	s i: s a: t
廟市	m i:u s i:
廟宇	m i:u j y:
廟祝	m i:u t s ʊ k
廟堂	m i:u tʰ ɔ: ŋ
廟會	m i:u w u:i
廠址	t sʰ ɔ: ŋ t s i:
廠房	t sʰ ɔ: ŋ f ɔ: ŋ
廠長	t sʰ ɔ: ŋ t s œ: ŋ
廠家	t sʰ ɔ: ŋ k a:
廠商	t sʰ ɔ: ŋ s œ: ŋ
廢人	f ɐi j ɐ n
廢止	f ɐi t s i:
廢水	f ɐi s ɵy
廢物	f ɐi m ɐ t
廢料	f ɐi l i:u
廢氣	f ɐi h ei
廢紙	f ɐi t s i:
廢除	f ɐi t sʰ ɵy
廢掉	f ɐi t ɛ:u
廢棄	f ɐi h ei
廢票	f ɐi pʰ i:u
廢置	f ɐi t s i:
廢話	f ɐi w a:
廢墟	f ɐi h ɵy
廢鐵	f ɐi tʰ i: t
廣大	k w ɔ: ŋ t a:i
廣告	k w ɔ: ŋ k ou
廣泛	k w ɔ: ŋ f a: n
廣場	k w ɔ: ŋ t sʰ œ: ŋ
廣義	k w ɔ: ŋ j i:
廣播	k w ɔ: ŋ p ɔ:
廣闊	k w ɔ: ŋ f u: t
彈力	t a: n l ɪ k
彈弓	t a: n k ʊ ŋ
彈出	t a: n t sʰ ɵ t
彈劾	tʰ a: n h ɐ t
彈性	t a: n s ɪ ŋ
彈奏	tʰ a: n t s ɐu
彈指	t a: n t s i:
彈射	t a: n s ɛ:
彈痕	t a: n h ɐ n
彈殼	t a: n h ɔ: k
彈琴	tʰ a: n kʰ ɐ m
彈跳	t a: n tʰ i:u
彈頭	t a: n tʰ ɐu
彈簧	t a: n w ɔ: ŋ
彈藥	t a: n j œ: k
影子	j ɪ ŋ t s i:
影片	j ɪ ŋ pʰ i: n
影印	j ɪ ŋ j ɐ n
影星	j ɪ ŋ s ɪ ŋ
影射	j ɪ ŋ s ɛ:
影展	j ɪ ŋ t s i: n
影迷	j ɪ ŋ m ɐi
影院	j ɪ ŋ j y: n
影圈	j ɪ ŋ h y: n
影視	j ɪ ŋ s i:
影評	j ɪ ŋ pʰ ɪ ŋ
影集	j ɪ ŋ t s a: p
影像	j ɪ ŋ t s œ: ŋ
影碟	j ɪ ŋ t i: p
影壇	j ɪ ŋ tʰ a: n
影響	j ɪ ŋ h œ: ŋ
徵引	t s ɪ ŋ j ɐ n
徵文	t s ɪ ŋ m ɐ n
徵召	t s ɪ ŋ t s i:u
徵用	t s ɪ ŋ j ʊ ŋ
徵兆	t s ɪ ŋ s i:u
徵收	t s ɪ ŋ s ɐu
徵兵	t s ɪ ŋ p ɪ ŋ
徵求	t s ɪ ŋ kʰ ɐu
徵得	t s ɪ ŋ t ɐ k
徵稅	t s ɪ ŋ s ɵy
徵集	t s ɪ ŋ t s a: p
徵募	t s ɪ ŋ m ou
徵聘	t s ɪ ŋ pʰ ɪ ŋ
徵詢	t s ɪ ŋ s ɵ n
徵稿	t s ɪ ŋ k ou
徵調	t s ɪ ŋ t i:u
徵糧	t s ɪ ŋ l œ: ŋ
德文	t ɐ k m ɐ n
德行	t ɐ k h ɐ ŋ
德育	t ɐ k j ʊ k
德性	t ɐ k s ɪ ŋ
德政	t ɐ k t s ɪ ŋ
德望	t ɐ k m ɔ: ŋ
慕名	m ou m ɪ ŋ
慧根	w ɐi k ɐ n
慫恿	s ʊ ŋ j ʊ ŋ
慰問	w ɐi m ɐ n
慰勞	w ɐi l ou
慰藉	w ɐi t s ɛ: k
慶功	h ɪ ŋ k ʊ ŋ
慶典	h ɪ ŋ t i: n
慶幸	h ɪ ŋ h ɐ ŋ
慶祝	h ɪ ŋ t s ʊ k
慶賀	h ɪ ŋ h ɔ:
慾念	j ʊ k n i: m
慾念	j ʊ k l i: m
慾望	j ʊ k m ɔ: ŋ
憂思	j ɐu s i:
憂患	j ɐu w a: n
憂傷	j ɐu s œ: ŋ
憂愁	j ɐu s ɐu
憂慮	j ɐu l ɵy
憂鬱	j ɐu w ɐ t
憎恨	t s ɐ ŋ h ɐ n
憎惡	t s ɐ ŋŋ ɔ: k
憎惡	t s ɐ ŋ ɔ: k
憐恤	l i: n s ɵ t
憐惜	l i: n s ɪ k
憐愛	l i: n ɔ:i
憐愛	l i: n ŋ ɔ:i
憐憫	l i: n m ɐ n
憔悴	t sʰ i:u s ɵy
憤怒	f ɐ nn ou
憤怒	f ɐ n l ou
憤恨	f ɐ n h ɐ n
憤慨	f ɐ n kʰ ɔ:i
憤然	f ɐ n j i: n
憧憬	t sʰ ʊ ŋ k ɪ ŋ
摩登	m ɔ: t ɐ ŋ
摩擦	m ɔ: t sʰ a: t
摯友	t s i: j ɐu
摯愛	t s i:ɔ:i
摯誠	t s i: s ɪ ŋ
摹本	m ɔ: p u: n
摹仿	m ɔ: f ɔ: ŋ
摹刻	m ɔ: h ɐ k
摹繪	m ɔ: kʰ u:i
撈到	l ou t ou
撈取	l ɐu t sʰ ɵy
撈起	l ɐu h ei
撈魚	l ɐu j y:
撈麵	l ou m i: n
撐住	t sʰ a: ŋ t s y:
撐起	t sʰ a: ŋ h ei
撐傘	t sʰ a: ŋ s a: n
撐開	t sʰ a: ŋ h ɔ:i
撐腰	t sʰ a: ŋ j i:u
撒旦	s a: tt a: n
撒尿	s a: t l i:u
撒落	s a: t l ɔ: k
撒種	s a: tt s ʊ ŋ
撒網	s a: t m ɔ: ŋ
撒嬌	s a: t k i:u
撒謊	s a: t f ɔ: ŋ
撕去	s i: h ɵy
撕扯	s i: t sʰ ɛ:
撕走	s i: t s ɐu
撕破	s i: pʰ ɔ:
撕掉	s i: t ɛ:u
撕票	s i: pʰ i:u
撕裂	s i: l i: t
撕開	s i: h ɔ:i
撕毀	s i: w ɐi
撕碎	s i: s ɵy
撞入	t s ɔ: ŋ j ɐ p
撞死	t s ɔ: ŋ s ei
撞見	t s ɔ: ŋ k i: n
撞車	t s ɔ: ŋ t sʰ ɛ:
撞邪	t s ɔ: ŋ t sʰ ɛ:
撞到	t s ɔ: ŋ t ou
撞倒	t s ɔ: ŋ t ou
撞破	t s ɔ: ŋ pʰ ɔ:
撞船	t s ɔ: ŋ s y: n
撞進	t s ɔ: ŋ t s ɵ n
撞開	t s ɔ: ŋ h ɔ:i
撞傷	t s ɔ: ŋ s œ: ŋ
撞擊	t s ɔ: ŋ k ɪ k
撞壞	t s ɔ: ŋ w a:i
撥冗	p u: t j ʊ ŋ
撥出	p u: tt sʰ ɵ t
撥用	p u: t j ʊ ŋ
撥交	p u: t k a:u
撥作	p u: tt s ɔ: k
撥款	p u: t f u: n
撥給	p u: t kʰ ɐ p
撥開	p u: t h ɔ:i
撥號	p u: t h ou
撩起	l i:u h ei
撩開	l i:u h ɔ:i
撩惹	l i:u j ɛ:
撫平	f u: pʰ ɪ ŋ
撫弄	f u: l ʊ ŋ
撫育	f u: j ʊ k
撫恤	f u: s ɵ t
撫順	f u: s ɵ n
撫摸	f u: m ɔ:
撫慰	f u: w ɐi
撫養	f u: j œ: ŋ
撬門	k i:u m u: n
撬起	k i:u h ei
撬開	k i:u h ɔ:i
撬壞	k i:u w a:i
播下	p ɔ: h a:
播出	p ɔ: t sʰ ɵ t
播放	p ɔ: f ɔ: ŋ
播音	p ɔ: j ɐ m
播送	p ɔ: s ʊ ŋ
播種	p ɔ: t s ʊ ŋ
撮合	t sʰ y: t h ɐ p
撮要	t sʰ y: t j i:u
撰文	t s a: n m ɐ n
撰述	t s a: n s ɵ t
撰著	t s a: n t s y:
撰寫	t s a: n s ɛ:
撰稿	t s a: n k ou
撲打	pʰ ɔ: k t a:
撲克	pʰ ɔ: k h ɐ k
撲空	pʰ ɔ: k h ʊ ŋ
撲救	pʰ ɔ: kk ɐu
撲殺	pʰ ɔ: k s a: t
撲滅	pʰ ɔ: k m i: t
撲鼻	pʰ ɔ: k p ei
敵人	t ɪ k j ɐ n
敵手	t ɪ k s ɐu
敵方	t ɪ k f ɔ: ŋ
敵台	t ɪ k tʰ ɔ:i
敵軍	t ɪ kk w ɐ n
敵陣	t ɪ k t s ɐ n
敵國	t ɪ kk w ɔ: k
敵寇	t ɪ k kʰ ɐu
敵情	t ɪ k t sʰ ɪ ŋ
敵探	t ɪ k tʰ a: m
敵視	t ɪ k s i:
敵意	t ɪ k j i:
敵對	t ɪ k t ɵy
敵機	t ɪ kk ei
敵艦	t ɪ k l a: m
敷上	f u: s œ: ŋ
敷衍	f u: j i: n
敷面	f u: m i: n
敷藥	f u: j œ: k
數人	s ou j ɐ n
數日	s ou j ɐ t
數目	s ou m ʊ k
數列	s ou l i: t
數字	s ou t s i:
數次	s ou t sʰ i:
數位	s ou w ɐi
數值	s ou t s ɪ k
數理	s ou l ei
數量	s ou l œ: ŋ
數落	s ou l ɔ: k
數碼	s ou m a:
數學	s ou h ɔ: k
數據	s ou k ɵy
數額	s ou ŋ a: k
暫且	t s a: m t sʰ ɛ:
暫用	t s a: m j ʊ ŋ
暫存	t s a: m t sʰ y: n
暫住	t s a: m t s y:
暫別	t s a: m p i: t
暫定	t s a: m t ɪ ŋ
暫借	t s a: m t s ɛ:
暫時	t s a: m s i:
暫缺	t s a: m kʰ y: t
暫停	t s a: m tʰ ɪ ŋ
暫歇	t s a: m h i: t
暫緩	t s a: m w u: n
暮年	m ou n i: n
暮色	m ou s ɪ k
暱稱	l ɪ k t sʰ ɪ ŋ
暱稱	n ɪ k t sʰ ɪ ŋ
暴力	p ou l ɪ k
暴民	p ou m ɐ n
暴行	p ou h ɐ ŋ
暴利	p ou l ei
暴君	p ou k w ɐ n
暴戾	p ou l ɐi
暴雨	p ou j y:
暴怒	p ou l ou
暴怒	p ou n ou
暴政	p ou t s ɪ ŋ
暴虐	p ou j œ: k
暴風	p ou f ʊ ŋ
暴徒	p ou tʰ ou
暴動	p ou t ʊ ŋ
暴富	p ou f u:
暴發	p ou f a: t
暴跌	p ou t i: t
暴亂	p ou l y: n
暴漲	p ou t s œ: ŋ
暴斃	p ou p ɐi
暴躁	p ou t sʰ ou
暴露	p ou l ou
暴曬	p ou s a:i
樂土	ŋ ɔ: k tʰ ou
樂天	l ɔ: k tʰ i: n
樂曲	ŋ ɔ: k kʰ ʊ k
樂曲	ɔ: k kʰ ʊ k
樂事	l ɔ: k s i:
樂府	l ɔ: k f u:
樂於	l ɔ: k j y:
樂理	l ɔ: k l ei
樂章	ŋ ɔ: k t s œ: ŋ
樂章	ɔ: k t s œ: ŋ
樂隊	ŋ ɔ: k t ɵy
樂隊	ɔ: k t ɵy
樂園	ɔ: k j y: n
樂意	l ɔ: k j i:
樂團	ŋ ɔ: k tʰ y: n
樂趣	l ɔ: k t sʰ ɵy
樂器	ɔ: k h ei
樂器	ŋ ɔ: k h ei
樂壇	ɔ: k tʰ a: n
樂壇	ŋ ɔ: k tʰ a: n
樂譜	ŋ ɔ: k pʰ ou
樂譜	ɔ: k pʰ ou
樂觀	l ɔ: kk u: n
樑柱	l œ: ŋ t sʰ y:
樓宇	l ɐu j y:
樓底	l ɐu t ɐi
樓房	l ɐu f ɔ: ŋ
樓面	l ɐu m i: n
樓梯	l ɐu tʰ ɐi
樓頂	l ɐu t ɪ ŋ
樓閣	l ɐu k ɔ: k
標本	p i:u p u: n
標示	p i:u s i:
標杆	p i:u k ɔ: n
標明	p i:u m ɪ ŋ
標竿	p i:u k ɔ: n
標致	p i:u t s i:
標記	p i:u k ei
標售	p i:u s ɐu
標會	p i:u w u:i
標準	p i:u t s ɵ n
標號	p i:u h ou
標榜	p i:u p ɔ: ŋ
標槍	p i:u t sʰ œ: ŋ
標誌	p i:u t s i:
標語	p i:u j y:
標價	p i:u k a:
標緻	p i:u t s i:
標舉	p i:u k ɵy
標點	p i:u t i: m
標題	p i:u tʰ ɐi
標籤	p i:u t sʰ i: m
樞紐	s y: l ɐu
樞紐	s y: n ɐu
樞機	s y: k ei
樟木	t s œ: ŋ m ʊ k
樟樹	t s œ: ŋ s y:
模仿	m ou f ɔ: ŋ
模印	m ou j ɐ n
模式	m ou s ɪ k
模型	m ou j ɪ ŋ
模倣	m ou f ɔ: ŋ
模樣	m ou j œ: ŋ
模範	m ou f a: n
模糊	m ou w u:
模擬	m ou j i:
樣子	j œ: ŋ t s i:
樣本	j œ: ŋ p u: n
樣式	j œ: ŋ s ɪ k
樣板	j œ: ŋ p a: n
樣貌	j œ: ŋ m a:u
歎息	tʰ a: n s ɪ k
歎氣	tʰ a: n h ei
歎詞	tʰ a: n t sʰ i:
歐陸	ɐu l ʊ k
毅力	ɐi l ɪ k
毅力	ŋ ɐi l ɪ k
毅然	ŋ ɐi j i: n
毆打	ɐu t a:
毆鬥	ɐu t ɐu
毆傷	ɐu s œ: ŋ
漿狀	t s œ: ŋ t s ɔ: ŋ
漿液	t s œ: ŋ j ɪ k
漿糊	t s œ: ŋ w u:
潑水	pʰ u: t s ɵy
潑出	pʰ u: tt sʰ ɵ t
潑婦	pʰ u: t f u:
潑辣	pʰ u: t l a: t
潑墨	pʰ u: t m ɐ k
潔白	k i: t p a: k
潔淨	k i: tt s ɛ: ŋ
潔癖	k i: t pʰ ɪ k
潛入	t sʰ i: m j ɐ p
潛力	t sʰ i: m l ɪ k
潛心	t sʰ i: m s ɐ m
潛水	t sʰ i: m s ɵy
潛伏	t sʰ i: m f ʊ k
潛在	t sʰ i: m t s ɔ:i
潛行	t sʰ i: m h ɐ ŋ
潛泳	t sʰ i: m w ɪ ŋ
潛近	t sʰ i: m k ɐ n
潛修	t sʰ i: m s ɐu
潛能	t sʰ i: m n ɐ ŋ
潛能	t sʰ i: m l ɐ ŋ
潛逃	t sʰ i: m tʰ ou
潛艇	t sʰ i: m tʰ ɪ ŋ
潛藏	t sʰ i: m t sʰ ɔ: ŋ
潤肺	j ɵ n f ɐi
潤喉	j ɵ n h ɐu
潤滑	j ɵ n w a: t
潤飾	j ɵ n s ɪ k
潤澤	j ɵ n t s a: k
潦倒	l i:u t ou
潦草	l i:u t sʰ ou
潮水	t sʰ i:u s ɵy
潮汐	t sʰ i:u t s ɪ k
潮流	t sʰ i:u l ɐu
潮濕	t sʰ i:u s ɐ p
潰敗	kʰ u:i p a:i
潰堤	kʰ u:i tʰ ɐi
潰散	kʰ u:i s a: n
潰爛	kʰ u:i l a: n
澄清	t sʰ ɪ ŋ t sʰ ɪ ŋ
澆水	h i:u s ɵy
澆花	h i:u f a:
澆灌	h i:u k u: n
澎湃	pʰ a: ŋ pʰ a:i
澗溪	k a: n kʰ ɐi
熟人	s ʊ k j ɐ n
熟手	s ʊ k s ɐu
熟肉	s ʊ k j ʊ k
熟知	s ʊ k t s i:
熟客	s ʊ k h a: k
熟食	s ʊ k s ɪ k
熟悉	s ʊ k s ɪ k
熟習	s ʊ k t s a: p
熟透	s ʊ k tʰ ɐu
熟絡	s ʊ k l ɔ: k
熟菜	s ʊ k t sʰ ɔ:i
熟稔	s ʊ k n ɐ m
熟稔	s ʊ k l ɐ m
熟路	s ʊ k l ou
熟睡	s ʊ k s ɵy
熟練	s ʊ k l i: n
熟讀	s ʊ k t ʊ k
熨斗	w ɐ n t ɐu
熬出	ŋ ou t sʰ ɵ t
熬夜	ŋ ou j ɛ:
熬粥	ŋ ou t s ʊ k
熬過	ŋ ou k w ɔ:
熬藥	ŋ ou j œ: k
熱力	j i: t l ɪ k
熱切	j i: tt sʰ i: t
熱心	j i: t s ɐ m
熱水	j i: t s ɵy
熱血	j i: t h y: t
熱忱	j i: t s ɐ m
熱身	j i: t s ɐ n
熱狗	j i: t k ɐu
熱門	j i: t m u: n
熱度	j i: tt ou
熱流	j i: t l ɐu
熱氣	j i: t h ei
熱浪	j i: t l ɔ: ŋ
熱烈	j i: t l i: t
熱能	j i: t l ɐ ŋ
熱能	j i: t n ɐ ŋ
熱衷	j i: tt sʰ ʊ ŋ
熱帶	j i: tt a:i
熱情	j i: tt sʰ ɪ ŋ
熱淚	j i: t l ɵy
熱湯	j i: t tʰ ɔ: ŋ
熱量	j i: t l œ: ŋ
熱飲	j i: t j ɐ m
熱愛	j i: t ŋ ɔ:i
熱愛	j i: t ɔ:i
熱誠	j i: t s ɪ ŋ
熱敷	j i: t f u:
熱潮	j i: tt sʰ i:u
熱線	j i: t s i: n
熱銷	j i: t s i:u
熱鬧	j i: t l a:u
熱鬧	j i: t n a:u
熱褲	j i: t f u:
熱點	j i: tt i: m
熱戀	j i: t l y: n
獎券	t s œ: ŋ h y: n
獎杯	t s œ: ŋ p u:i
獎狀	t s œ: ŋ t s ɔ: ŋ
獎金	t s œ: ŋ k ɐ m
獎品	t s œ: ŋ p ɐ n
獎盃	t s œ: ŋ p u:i
獎章	t s œ: ŋ t s œ: ŋ
獎牌	t s œ: ŋ pʰ a:i
獎罰	t s œ: ŋ f ɐ t
獎賞	t s œ: ŋ s œ: ŋ
獎勵	t s œ: ŋ l ɐi
獎懲	t s œ: ŋ t sʰ ɪ ŋ
璀璨	t sʰ ɵy t sʰ a: n
瘟疫	w ɐ n j ɪ k
瘟病	w ɐ n p ɛ: ŋ
瘟神	w ɐ n s ɐ n
瘡疤	t sʰ ɔ: ŋ p a:
瘦小	s ɐu s i:u
瘦田	s ɐu tʰ i: n
瘦肉	s ɐu j ʊ k
瘦長	s ɐu t sʰ œ: ŋ
瘦削	s ɐu s œ: k
瘦弱	s ɐu j œ: k
瘦猴	s ɐu h ɐu
皺眉	t s ɐu m ei
皺紋	t s ɐu m ɐ n
盤子	pʰ u: n t s i:
盤查	pʰ u: n t sʰ a:
盤問	pʰ u: n m ɐ n
盤旋	pʰ u: n s y: n
盤結	pʰ u: n k i: t
盤算	pʰ u: n s y: n
盤膝	pʰ u: n s ɐ t
盤踞	pʰ u: n k ɵy
盤據	pʰ u: n k ɵy
盤點	pʰ u: n t i: m
盤繞	pʰ u: n j i:u
盤纏	pʰ u: n t sʰ i: n
瞇眼	m ei ŋ a: n
瞌睡	h ɐ p s ɵy
瞎子	h a: t s i:
瞎吹	h a: t sʰ ɵy
瞎扯	h a: t sʰ ɛ:
瞎猜	h a: t sʰ a:i
瞎聊	h a: l i:u
瞎搞	h a: k a:u
瞎話	h a: w a:
瞎說	h a: s y: t
瞎鬧	h a: n a:u
瞑目	m ɪ ŋ m ʊ k
確切	kʰ ɔ: k t sʰ i: t
確立	kʰ ɔ: k l a: p
確有	kʰ ɔ: k j ɐu
確定	kʰ ɔ: k t ɪ ŋ
確知	kʰ ɔ: k t s i:
確保	kʰ ɔ: k p ou
確信	kʰ ɔ: k s ɵ n
確診	kʰ ɔ: k t sʰ ɐ n
確實	kʰ ɔ: k s ɐ t
確認	kʰ ɔ: k j ɪ ŋ
